die,Abschätzung {f},değer biçme,noun,,f
die,Abschätzung {f},keşif [değer biçme],noun,,f
die,Abschätzung {f},takdir [değer biçme],noun,,f
das,Abseits {n},ofsayt,noun,[sports],n
der,Absender {m},gönderen,noun,,m
die,Absendung {f} [Warenversand],sevkiyat,noun,[ind.] [comm.],f
die,Absicht {f},maksat,noun,,f
die,Absicht {f},meram,noun,,f
die,Absicht {f},niyet,noun,,f
die,absolute Mehrheit {f},mutlak ekseriyet,noun,[pol.],f
die,absolute Mehrheit {f},mutlak çoğunluk,noun,[pol.],f
die,absolute Mehrheit {f},salt çoğunluk,noun,[pol.],f
die,Absprache {f},sözleşme,noun,,f
die,Absprache {f},uyuşma,noun,,f
die,Abstammungslehre {f},evrim teorisi,noun,[biol.],f
die,Abstimmung {f},oylama,noun,[pol.],f
der,Abstract {m} {n},özet,noun,[acad.],m
der,Absturz {m},düşme,noun,[econ.] [aviat.],m
der,Absturz {m},düşüş,noun,,m
der,Absturz {m},çakılma,noun,[aviat.],m
der,Absturz {m},çökme,noun,[comp.],m
die,Abteilungsleiterin {f},bölüm başkanı [kadın],noun,,f
die,Abteilungsleiterin {f},daire başkanı [kadın],noun,,f
die,Abteilungsleiterin {f},daire âmiri [kadın],noun,,f
der,Abteilungsleiter {m},bölüm başkanı,noun,[econ.],m
der,Abteilungsleiter {m},daire başkanı,noun,[econ.],m
der,Abteilungsleiter {m},daire âmiri,noun,[econ.],m
die,Abteilung {f},bölüm,noun,,f
das,Abteil {n},kompartıman,noun,[rail],n
die,Abtreibung {f},çocuk aldırma,noun,[med.],f
die,Abtreibung {f},çocuk düşürme,noun,[med.],f
der,Abwasch {m},bulaşık,noun,,m
das,Abwasser {n},atık su,noun,,n
der,Abwehrspieler {m},bek,noun,[sports],m
der,Abwehrspieler {m},müdafaa oyuncusu,noun,[sports],m
der,Abwehrspieler {m},savunma oyuncusu,noun,[sports],m
die,Abwehr {f},defans,noun,[sports],f
die,Abwehr {f},müdafaa [osm.],noun,,f
die,Abwehr {f},savunma,noun,,f
die,Abweichung {f},aberasyon,noun,[phys.],f
die,Abweichung {f},sapma,noun,,f
der,Abzugsbügel {m},tetik koruması,noun,[weapons],m
die,Abzugshaube {f},aspiratör,noun,[gastr.],f
der,Abzug {m} [Schusswaffe],tetik,noun,,m
die,Achondroplasie {f},akondroplazi,noun,[med.],f
die,Achselhöhle {f},koltukaltı,noun,[anat.],f
die,Achselhöhle {f},koltuk altı,noun,[anat.],f
die,Achsenneigung {f},eksen eğikliği,noun,[astron.] [tech.],f
die,Achse {f},aks,noun,[tech.],f
die,Achse {f},eksen,noun,,f
die,Achsneigung {f},eksen eğikliği,noun,[astron.] [tech.],f
das,Achtelfinale {n},son 16,noun,[sports],n
die,Achterbahn {f},eğlence treni,noun,,f
die,Achtsamkeit {f},dikkat,noun,,f
die,Achtung {f},dikkat,noun,,f
die,Achtung {f},saygı,noun,,f
der,Acker-Schachtelhalm {m},atkuyruğu otu [Equisetum arvense],noun,[bot.] [T],m
der,Acker-Schachtelhalm {m},kırkkilit otu [Equisetum arvense],noun,[bot.] [T],m
der,Acker {m},tarla,noun,,m
das,Actinium(III)-oxid {n},aktinyum(III) oksit [Ac2O3],noun,[chem.],n
das,Actinium {n} <Ac>,aktinyum <Ac>,noun,[chem.],n
der,Adamsapfel {m},adem elması,noun,[anat.],m
der,Adamsapfel {m} [ugs.] [hum.],âdemelması,noun,[anat.],m
die,Adaption {f},nazire [eski],noun,[lit.],f
der,Adel {m},asillik,noun,,m
die,Ader {f},damar,noun,[anat.],f
das,Adjektiv {n},sıfat,noun,[ling.],n
das,Adjektiv {n},önad,noun,[ling.],n
der,Adlerbussard {m},kızıl şahin [Buteo rufinus],noun,[orn.] [T],m
der,Adler {m},kartal,noun,,m
der,Adliger {m},soylu,noun,,m
die,Adlige {f},soylu [kadın],noun,,f
der,Administrator {m},yönetici,noun,,m
der,Adonis {m},Adonis,noun,[myth.],m
die,Adoption {f},evlat edinme,noun,,f
das,Adoptivkind {n},evlatlık,noun,,n
das,Adressbuch {n},adres defteri,noun,,n
die,Adresse {f} <Adr.>,adres,noun,,f
das,Adriatisches Meer {n},Adriyatik Denizi,noun,[geogr.],n
